measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,4910,Oslo,3,Both,22,All ages,1,Number,2021,704129.9012040766,795952.0517482195,615056.2901497285
44,Population,4727,West Nusa Tenggara,3,Both,22,All ages,1,Number,2021,5404873.853111586,6020398.984894754,4816687.18374839
44,Population,44731,Bromley,3,Both,22,All ages,1,Number,2021,334613.24957568326,401924.70571600954,273923.6824302364
44,Population,44655,Cheshire East,3,Both,22,All ages,1,Number,2021,388919.5427689293,464355.4770889187,320075.0592483
44,Population,44777,Slough,3,Both,22,All ages,1,Number,2021,163677.21241151585,196470.10518053418,132709.1919230789
44,Population,557,North Dakota,3,Both,22,All ages,1,Number,2021,788058.0063325233,874461.5788598189,704527.4597502161
44,Population,206,Gambia,3,Both,22,All ages,1,Number,2021,2394154.539320475,2684612.899245529,2109351.543035955
44,Population,4622,West Midlands,3,Both,22,All ages,1,Number,2021,6015314.735975703,6895059.01318141,5141732.991866212
44,Population,204,Chad,3,Both,22,All ages,1,Number,2021,17749358.629791237,20274989.85304513,15191471.77320198
44,Population,35623,Garissa,3,Both,22,All ages,1,Number,2021,948737.6049804662,1073227.4752635185,833955.5773033336
44,Population,44720,Essex,3,Both,22,All ages,1,Number,2021,1487564.5124545058,1756201.7863891863,1229086.531547021
44,Population,4728,East Nusa Tenggara,3,Both,22,All ages,1,Number,2021,5445986.127802807,6063369.433802408,4845385.975076234
44,Population,128,Guatemala,3,Both,22,All ages,1,Number,2021,15767371.648009375,17143279.543324243,14359859.04674052
44,Population,44792,Plymouth,3,Both,22,All ages,1,Number,2021,275729.567724647,332564.28717871464,223646.45081213358
44,Population,53,Serbia,3,Both,22,All ages,1,Number,2021,8919508.964871261,10032942.199201856,7752148.3179723825
44,Population,67,Japan,3,Both,22,All ages,1,Number,2021,127697459.9998416,137074973.1482044,117991632.34491302
44,Population,44635,High SDI,3,Both,22,All ages,1,Number,2021,1094047735.614321,1125004948.3737607,1063559815.9505002
44,Population,4733,North Sulawesi,3,Both,22,All ages,1,Number,2021,2734554.580045663,3023752.009366538,2429414.7361595337
44,Population,44713,Wolverhampton,3,Both,22,All ages,1,Number,2021,270097.0279238357,325373.9765411515,218535.34195708638
44,Population,35432,Tochigi,3,Both,22,All ages,1,Number,2021,1952211.9959680033,2164450.744449268,1751485.9250002273
44,Population,4734,Central Sulawesi,3,Both,22,All ages,1,Number,2021,3048761.0214684713,3413993.321030141,2719429.063384632
