exposure,age,low,central,high
153.3,25+,3.0364974135204723,3.5349731395657176,4.115279348439615
153.4,25+,3.0372570183783556,3.53597847712285,4.116590632606943
153.5,25+,3.0380159618156326,3.5369829736535325,4.117900864628241
153.60000000000002,25+,3.038774244633294,3.5379866301207636,4.119210045635956
153.70000000000002,25+,3.0395318676321543,3.538989447487574,4.120518176762909
153.8,25+,3.040288831612842,3.539991426717013,4.1218252591422715
153.9,25+,3.041045137375802,3.5409925687721517,4.123131293907565
154,25+,3.041800785721285,3.541992874616063,4.124436282192646
154.10000000000002,25+,3.0425557774493464,3.5429923452118324,4.125740225131707
154.20000000000002,25+,3.04331011335984,3.5439909815225334,4.127043123859252
154.3,25+,3.0440637942524154,3.544988784511234,4.128344979510104
154.4,25+,3.044816820926515,3.54598575514099,4.12964579321939
154.5,25+,3.0455691941813625,3.546981894374826,4.130945566122518
154.60000000000002,25+,3.0463209148159685,3.547977203175747,4.132244299355197
154.70000000000002,25+,3.04707198362912,3.5489716825067195,4.133541994053404
154.8,25+,3.047822401419377,3.5499653333306673,4.134838651353381
154.9,25+,3.048572168985068,3.5509581566104744,4.13613427239164
155,25+,3.0493212871242856,3.5519501533089595,4.137428858304927
155.10000000000002,25+,3.050069756634887,3.5529413243888937,4.1387224102302405
155.20000000000002,25+,3.050817578314483,3.553931670812977,4.140014929304814
155.3,25+,3.051564752960439,3.5549211935438407,4.141306416666098
155.4,25+,3.052311281369863,3.555909893544032,4.142596873451759
155.5,25+,3.0530571643396143,3.5568977717760233,4.143886300799677
155.60000000000002,25+,3.0538024026662915,3.557884829202195,4.145174699847931
155.70000000000002,25+,3.054546997146221,3.558871066784826,4.146462071734778
155.8,25+,3.0552909485754727,3.5598564854861037,4.147748417598675
155.9,25+,3.0560342577498356,3.560841086268099,4.14903373857824
156,25+,3.0567769254648263,3.5618248700927757,4.150318035812262
156.10000000000002,25+,3.0575189525156805,3.5628078379219783,4.151601310439688
156.20000000000002,25+,3.0582603396973513,3.563789990717424,4.1528835635996115
156.3,25+,3.0590010878045,3.564771329440699,4.154164796431268
156.4,25+,3.059741197631499,3.5657518550532563,4.155445010074025
156.5,25+,3.0604806699724265,3.5667315685164063,4.156724205667378
156.60000000000002,25+,3.0612195056210543,3.5677104707913077,4.158002384350934
156.70000000000002,25+,3.061957705370857,3.568688562838971,4.159279547264412
156.8,25+,3.062695270015,3.569665845620247,4.160555695547636
156.9,25+,3.0634322003463335,3.570642320095817,4.161830830340509
157,25+,3.0641684971573997,3.5716179872261984,4.163104952783036
157.10000000000002,25+,3.064904161240415,3.57259284797173,4.164378064015286
157.20000000000002,25+,3.0656391933872764,3.573566903292567,4.165650165177402
157.3,25+,3.066373594389556,3.574540154148682,4.166921257409588
157.4,25+,3.067107365038491,3.5755126014998533,4.1681913418521015
157.5,25+,3.067840506124989,3.576484246305661,4.169460419645244
157.60000000000002,25+,3.068573018439618,3.577455089525484,4.170728491929359
157.70000000000002,25+,3.069304902772607,3.578425132118492,4.1719955598448175
157.8,25+,3.070036159913837,3.579394375043638,4.173261624532011
