GID,NAME_0,scenario,ISO3,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
AGO,Angola,HSBC,AGO,central,Kwanza,AOA,3.250384098573077,1185.8239790692003,37728817.47735842,0.08615123176133672,2.897211725877252e-5
TZA,Tanzania,HSBC,TZA,central,Tanzanian Shilling,TZS,2.0134415854326324,4631.900219430336,80244321.81524383,0.02509139014307357,2.2360665222654304e-5
COD,Democratic Republic of the Congo,HSBC,COD,central,Congolese Franc,CDF,1.3975865034119384,2302.8872766207082,123109358.27763893,0.011352398574445257,2.082182869492983e-5
TKM,Turkmenistan,HSBC,TKM,central,Turkmenistan New Manat,TMT,0.8240723750646559,2.884253312726296,6985386.42173773,0.11797090745047922,1.6933699052265742e-5
KAZ,Kazakhstan,HSBC,KAZ,central,Tenge,KZT,1.9140857573071142,732.6111555777528,21225062.71246628,0.0901804523848544,9.267198306837364e-6
ARE,United Arab Emirates,HSBC,ARE,central,UAE Dirham,AED,3.2348098774246714,11.879839274842078,10216453.622036906,0.31662747143952,7.345778677229594e-6
OMN,Oman,HSBC,OMN,central,Rial Omani,OMR,0.6020496669462251,0.23148809694082292,6312860.552137428,0.09536875747118811,6.163148334025181e-6
BHR,Bahrain,HSBC,BHR,central,Bahraini Dinar,BHD,0.1107826442893857,0.041654274252809036,856338.8676787,0.12936776370981162,5.504079714364651e-6
IRN,Iran,HSBC,IRN,central,Iranian Rial,IRR,2.162810040947986,74384.40734925191,93879357.22286281,0.023038185442765986,4.173349349699915e-6
RUS,Russia,HSBC,RUS,central,Russian Ruble,RUB,6.569553051303257,425.2977545693541,144030553.3941053,0.045612218355693186,3.9371805382123136e-6
QAT,Qatar,HSBC,QAT,central,Qatari Rial,QAR,0.6334699030794526,2.3058304472092024,2927283.834223559,0.21640194082767375,3.3404777882093246e-6
AUS,Australia,HSBC,AUS,central,Australian Dollar,AUD,0.26743870385315527,0.3739327957274817,27558329.75417089,0.009704459821723375,1.7674325331548372e-7
SAU,Saudi Arabia,HSBC,SAU,central,Saudi Riyal,SAR,0.14969091896582717,0.5613409461218523,40380689.97786451,0.003706992600866485,1.601998641369266e-7
MNP,Northern Mariana Islands,HSBC,MNP,central,US Dollar,USD,0,0,NA,NA,NA
PLW,Palau,HSBC,PLW,central,US Dollar,USD,0,0,NA,NA,NA
PRK,North Korea,HSBC,PRK,central,NA,NA,0,0,26546014.246751744,0,NA
TWN,Taiwan,HSBC,TWN,central,NA,NA,0,0,22529344.00024697,0,NA
YEM,Yemen,HSBC,YEM,central,Yemeni Rial,YER,0,0,36771690.80361693,0,NA
LKA,Sri Lanka,HSBC,LKA,high,Sri Lanka Rupee,LKR,107.7606467758856,19261.666031890993,21447311.089884043,5.024436225327686,0.001304003916291751
BGD,Bangladesh,HSBC,BGD,high,Taka,BDT,383.07590991006094,32189.569304008724,187977310.24890932,2.0378837711999,0.0010981516615399974
MMR,Myanmar,HSBC,MMR,high,Kyat,MMK,90.15752545930904,138139.08578137314,61358119.90370069,1.4693658410787025,0.0010437222069962786
NPL,Nepal,HSBC,NPL,high,Nepalese Rupee,NPR,40.488428727402464,4570.325737063453,36643063.8326172,1.1049411400845357,0.001031642178659321
BTN,Bhutan,HSBC,BTN,high,Indian Rupee,INR,3.6321559706788817,248.40133075674382,1142462.968257099,3.179233000628432,9.80267170971946e-4
BTN,Bhutan,HSBC,BTN,high,Ngultrum,BTN,3.6321559706788817,248.40133075674382,1142462.968257099,3.179233000628432,9.80267170971946e-4
IND,India,HSBC,IND,high,Indian Rupee,INR,2802.7938712012983,198718.08546817195,1527468581.4078665,1.8349273466678873,8.720532861522681e-4
SWZ,Swaziland,HSBC,SWZ,high,Lilangeni,SZL,3.9969762817320924,58.755551341461775,1535845.8584102357,2.6024592636329986,6.782488806588564e-4
LAO,Laos,HSBC,LAO,high,Kip,LAK,14.664701019357107,131824.51566354494,8781624.41976369,1.6699303361634463,6.587760744308118e-4
VNM,Vietnam,HSBC,VNM,high,Dong,VND,167.70007635524547,3865527.293096863,106356731.7242824,1.576769741195025,5.807032950069305e-4
BWA,Botswana,HSBC,BWA,high,Pula,BWP,12.186765825080624,131.0796345379847,2910425.901426805,4.187279194810007,5.259516831345292e-4
KHM,Cambodia,HSBC,KHM,high,Riel,KHR,16.19019819241962,65750.80719894679,19733523.558664918,0.8204413238359838,4.993187535905471e-4
THA,Thailand,HSBC,THA,high,Baht,THB,257.60923345614407,7998.148436652978,70204574.39305203,3.6694080931803073,4.699433188337946e-4
LSO,Lesotho,HSBC,LSO,high,Loti,LSL,1.1796953948195401,17.048721906853093,2381142.1235904507,0.4954325838563193,4.2800650824500384e-4
LSO,Lesotho,HSBC,LSO,high,Rand,ZAR,1.1796953948195401,17.048721906853093,2381142.1235904507,0.4954325838563193,4.2800650824500384e-4
ZWE,Zimbabwe,HSBC,ZWE,high,Zimbabwe Dollar,ZWL,12.17709020635517,12.17709020635517,20226798.778217383,0.6020275546256437,4.1122496496663765e-4
IDN,Indonesia,HSBC,IDN,high,Rupiah,IDR,493.5305084112683,6982307.458877548,291128042.4071223,1.6952352110453868,4.0991580682444e-4
PAK,Pakistan,HSBC,PAK,high,Pakistan Rupee,PKR,113.79755454567763,15531.329219258614,250497256.0463374,0.4542866310863987,3.5361244601745127e-4
ZAF,South Africa,HSBC,ZAF,high,Rand,ZAR,126.72347595666768,1830.9514700123198,62877490.79869379,2.015402878629187,3.3582207573019376e-4
PHL,Philippines,HSBC,PHL,high,Philippine Peso,PHP,118.73325475855088,6149.88185672973,116961876.01065898,1.0151449242121464,2.912827526125154e-4
HKG,Hong Kong,HSBC,HKG,high,Hong Kong Dollar,HKD,111.70397155015253,875.3011506698413,8120406.899043596,13.75595742170368,2.8213971516185356e-4
MOZ,Mozambique,HSBC,MOZ,high,Mozambique Metical,MZN,5.905467572337965,369.5051060011865,42662250.32163172,0.13842372420152488,2.814607459220882e-4
MAC,Macao,HSBC,MAC,high,Pataca,MOP,45.8601943826758,370.11469876538507,2113873.764325332,21.69485953070269,2.579760903239998e-4
CHN,China,HSBC,CHN,high,Yuan Renminbi,CNY,3676.317825309549,25397.47406436855,1464400740.640746,2.510458867769339,2.4464406227901926e-4
BRN,Brunei,HSBC,BRN,high,Brunei Dollar,BND,3.49792124401284,4.7718641610823225,460796.62073678285,7.591030590501942,2.4418861177030927e-4
MYS,Malaysia,HSBC,MYS,high,Malaysian Ringgit,MYR,98.72145784500624,408.9506513871203,35640795.53992144,2.7699005128667182,2.4265789798483427e-4
AFG,Afghanistan,HSBC,AFG,high,Afghani,AFN,5.685268833105249,441.3468509870772,46663103.38166481,0.12183649224108709,2.4264635410893242e-4
TLS,Timor-Leste,HSBC,TLS,high,US Dollar,USD,0.40469782946873173,0.40469782946873173,1320123.4478113728,0.3065605948744252,2.368746840953997e-4
MDV,Maldives,HSBC,MDV,high,Rufiyaa,MVR,2.8415441763304656,43.708632520315156,1433620.832411658,1.9820751150430609,1.8368704615562712e-4
NAM,Namibia,HSBC,NAM,high,Namibia Dollar,NAD,2.7705208052031414,40.029592801897074,3066119.5877470435,0.9035918938957285,1.822691978085358e-4
NAM,Namibia,HSBC,NAM,high,Rand,ZAR,2.7705208052031414,40.029592801897074,3066119.5877470435,0.9035918938957285,1.822691978085358e-4
ZMB,Zambia,HSBC,ZMB,high,Zambian Kwacha,ZMW,4.865894747004267,62.718463752036826,24824844.20000674,0.19600907493320527,1.5178695411563697e-4
MWI,Malawi,HSBC,MWI,high,Kwacha,MWK,1.4906822621315978,1111.9483464974762,26003058.05691796,0.05732719047385315,1.39295017530085e-4
JPN,Japan,HSBC,JPN,high,Yen,JPY,623.082381043271,67922.00218624112,115076460.10276918,5.414507715016837,1.3453235872546332e-4
KOR,South Korea,HSBC,KOR,high,Won,KRW,196.47792998878683,228967.02929690707,51297634.521933265,3.830155753181543,1.205893345270087e-4
MDG,Madagascar,HSBC,MDG,high,Malagasy Ariary,MGA,2.2438184631405362,8118.857484805737,36174952.37047526,0.062026853281273775,1.1877537424839359e-4
SGP,Singapore,HSBC,SGP,high,Singapore Dollar,SGD,34.07977563297388,46.491629918502994,4955562.706511199,6.877074845243282,1.054227932137219e-4
MNG,Mongolia,HSBC,MNG,high,Tugrik,MNT,1.6502631704402493,4395.544275362853,3726647.9357935884,0.4428277634143689,1.0309744655399812e-4
TJK,Tajikistan,HSBC,TJK,high,Somoni,TJS,0.8527928241311076,8.127456731099112,11945762.282863192,0.07138873216609061,8.198179790501379e-5
KGZ,Kyrgyzstan,HSBC,KGZ,high,Som,KGS,0.6093891897111909,42.5288749476982,8221590.954070517,0.07412059212328995,5.660683430846748e-5
UZB,Uzbekistan,HSBC,UZB,high,Uzbekistan Sum,UZS,2.7936885901120303,24687.232411994606,35552260.974588566,0.07857977280569738,4.5557687161958734e-5
AGO,Angola,HSBC,AGO,high,Kwanza,AOA,4.605263622750273,1680.1189853807643,37728817.47735842,0.12206223069445403,4.1048760281732194e-5
TZA,Tanzania,HSBC,TZA,high,Tanzanian Shilling,TZS,2.9270581841584415,6733.665155016476,80244321.81524383,0.036476826246943185,3.2507011187579975e-5
COD,Democratic Republic of the Congo,HSBC,COD,high,Congolese Franc,CDF,2.0616841720431713,3397.1609174942773,123109358.27763893,0.016746770520837385,3.071583372373061e-5
TKM,Turkmenistan,HSBC,TKM,high,Turkmenistan New Manat,TMT,1.195225344079742,4.183288704279097,6985386.42173773,0.1711036830203604,2.4560447466400198e-5
KAZ,Kazakhstan,HSBC,KAZ,high,Tenge,KZT,2.6049461808077954,997.036117349495,21225062.71246628,0.12272972834505748,1.261205395005252e-5
ARE,United Arab Emirates,HSBC,ARE,high,UAE Dirham,AED,4.88127707301143,17.926490050634435,10216453.622036906,0.4777858593203524,1.1084664137703109e-5
OMN,Oman,HSBC,OMN,high,Rial Omani,OMR,0.7678089193306045,0.2952225294826167,6312860.552137428,0.12162614919010643,7.860016410315135e-6
BHR,Bahrain,HSBC,BHR,high,Bahraini Dinar,BHD,0.15140067894829917,0.0569266552845605,856338.8676787,0.17679996163049905,7.522129581629882e-6
RUS,Russia,HSBC,RUS,high,Russian Ruble,RUB,8.99318667020643,582.198220699822,144030553.3941053,0.062439437038047885,5.3896816507818635e-6
IRN,Iran,HSBC,IRN,high,Iranian Rial,IRR,2.7030095234638742,92963.20881426845,93879357.22286281,0.02879237356778152,5.215716046905447e-6
QAT,Qatar,HSBC,QAT,high,Qatari Rial,QAR,0.8689254716753728,3.1628887168983497,2927283.834223559,0.2968367677628531,4.582105990561691e-6
SAU,Saudi Arabia,HSBC,SAU,high,Saudi Riyal,SAR,0.2151032703387036,0.8066372637701391,40380689.97786451,0.00532688447019149,2.3020444340738966e-7
AUS,Australia,HSBC,AUS,high,Australian Dollar,AUD,0.3416245924239095,0.4776595051271102,27558329.75417089,0.01239641863172805,2.2577076918055643e-7
MNP,Northern Mariana Islands,HSBC,MNP,high,US Dollar,USD,0,0,NA,NA,NA
PLW,Palau,HSBC,PLW,high,US Dollar,USD,0,0,NA,NA,NA
