"scenario","region_id","estimate","pop","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-8412.66733710008,"PM25","IHD",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-7158.08730272415,"PM25","Stroke",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-2939.88384886199,"PM25","COPD",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-594.352610933579,"PM25","LC",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-2004.15593780245,"PM25","LRI",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths.child",-596.333476904751,"PM25","LRI.child",FALSE,"0-4","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Deaths",-1258.09154745648,"PM25","Diabetes",TRUE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"exac",-30461.1971572968,"PM25","Asthma",FALSE,"0-18","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"exac",-35351.5270028318,"PM25","Asthma",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"PTB",-80243.1778302128,"PM25","PTB",FALSE,"Newborn","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"LBW",-65430.124151426,"PM25","LBW",FALSE,"Newborn","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.5_1","central",21844513.4730702,"Absences",-25938691.9491979,"PM25","Absences",FALSE,"25+","Rajshahi","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"YLLs",-487349.525289723,"PM25","NCD.LRI",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"YLLs",-43874.5940023414,"PM25","LRI.child",FALSE,"0-4","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"YLDs",-9505.12739264594,"PM25","Stroke",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"YLDs",-17646.845780875,"PM25","Diabetes",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"YLDs",-18127.4926992512,"PM25","COPD",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-21581.1948531663,"PM25","NCD.LRI",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-7017.49796723967,"PM25","IHD",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-5970.9793675862,"PM25","Stroke",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-2452.32910165462,"PM25","COPD",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-495.784282430419,"PM25","LC",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-1671.78371092088,"PM25","LRI",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths.child",-497.436638617709,"PM25","LRI.child",FALSE,"0-4","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Deaths",-1049.44775813762,"PM25","Diabetes",TRUE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"exac",-25409.4665301128,"PM25","Asthma",FALSE,"0-18","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"exac",-29488.7767387585,"PM25","Asthma",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"PTB",-66935.5288571863,"PM25","PTB",FALSE,"Newborn","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"LBW",-54579.0942194972,"PM25","LBW",FALSE,"Newborn","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.6_1","central",18221786.5927706,"Absences",-21636980.3693079,"PM25","Absences",FALSE,"25+","Rangpur","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.7_1","central",9867222.16628451,"YLLs",-263903.103802941,"PM25","NCD.LRI",FALSE,"25+","Sylhet","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
"scenario","BGD.7_1","central",9867222.16628451,"YLLs",-23758.3929694575,"PM25","LRI.child",FALSE,"0-4","Sylhet","BGD","0.4.1","gbd2019","GEMM and GBD",2020,"0.4.1"
