"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-25552.411859547,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-1340.11506025708,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-76414.2437986698,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-5336.71751044347,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-3264.92526821566,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","exac",-37031.9873635914,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","exac",-42977.21112182,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","PTB",-107020.617321967,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","LBW",-87264.3939021817,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Absences",-31003607.0541102,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-34722.4133425953,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths.child",-393.959430563798,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-25010.3789405085,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-11459.1917101638,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-1399.18053875988,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-11259.8708692654,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-804.98486045762,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-57279.4261662791,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-2220.00553749578,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-4790.85105736011,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-201.85023571586,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-15819.0005421733,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-825.85923349738,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLLs",-23339.5812802461,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","YLDs",-1530.0428617283,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Deaths",-1018.4539480359,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","exac",-18754.3922712885,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","exac",-27539.1191519582,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","PTB",-42381.9002652594,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","LBW",-22273.1801652639,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"low","Absences",-25827066.1991049,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-102665.898991171,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths.child",-1163.43764018033,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-114236.492208515,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-31820.2846544991,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-6336.94445507908,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLDs",-41129.8008807022,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-2134.78702335546,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-179894.739429523,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","Deaths",-6917.53813801621,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"high","YLLs",-19842.4967524952,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
