"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-4001.61366221981,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-4380.73988717757,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-2481.28591209366,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-431.466604730243,"PM25","LC",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-1104.87447545883,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths.child",-349.325598690395,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-640.97612906399,"PM25","Diabetes",TRUE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Absences",-7887298.49596452,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","LBW",-6095.93393403754,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","PTB",-11599.4780313819,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","exac",-8268.70212285103,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","exac",-5631.06184808228,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-710267.625681679,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-63943.2318955576,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-13852.8590152274,"PM25","Stroke",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-25718.6733609754,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-26419.1725464488,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-31452.6294421228,"PM25","NCD.LRI",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
