"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-34270.0778424054,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-383.510989730548,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-16735.5665672208,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-727.464177444266,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-16896.9594765509,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-17701.6368915295,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-34983.0143736591,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-56713.2513936925,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-10916083.0759134,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"central",-82986.4368528482,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
