location_id,location_level,iso3,estimate,location_name,country,region,income_group,pop,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,TotCV_Deaths,TotResp_Deaths,TotCV_YLLs,TotResp_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,AllCause_YLDs,TotCV_YLDs,COPD_YLDs,TotResp_YLDs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,birth.rate,labor.partic
35464,4,JPN,high,Saga,Japan,East Asia & Pacific,High income,832558.5231248628,239.3783096196957,1118.7738200589017,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,38.309381528298,374.01563733332006,1328.4706692120055,15461.734114623774,442368.1164515891,333.9905905650018,54.77349806098595,3263.34519389158,581.1882329051514,1260.1226244531408,13523.788530388365,14014.609691607411,0.12496476539987038,10.819081639032415,16449.405550176656,1157.723396657082,435.9885745540091,694.4699570590988,5.689807648893308,718.3763766174688,71.55560549037628,135.37211975376766,144.62952854848518,1338.385640778928,126.72861809418833,2.05324698797147,1187.203921254992,129.42460984167974,692.5598534662349,1287.2753279785713,75.25102286456682,32.36680563086421,1095.8670417311025,90.00173553486067,452.95471007398703,890.5967158179499,18.849406113996526,305.9921508809034,238.2933359241659,7,80.242
35464,4,JPN,low,Saga,Japan,East Asia & Pacific,High income,832558.5231248628,109.2429053137681,583.7209430586959,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,27.659413572633525,253.0057921212674,1115.3405581385737,12580.577871617734,442368.1164515891,270.85692279464996,42.21865318344071,2528.2593916396363,423.59122053871573,1044.1588101361756,7811.480958848847,11244.929055805733,0.0658159470271678,5.690435867499342,9542.886090367307,653.7477222653947,284.9901366513058,454.569838802084,3.810561050131345,335.9604921681056,43.64394412293023,106.82193060934813,69.80448448850342,995.8090262971991,95.97140347938559,0.863901875312771,820.6731789156329,102.32911714011733,383.7155760806261,961.7294010282258,56.04599328774759,14.782781764707082,781.1475353918444,40.639999532015196,61.79246050721338,327.5583074223407,12.200924148724763,119.5745055501217,137.3307900540189,7,80.242
35465,4,JPN,central,Nagasaki,Japan,East Asia & Pacific,High income,1359108.1671351553,152.9986185923062,769.5593451481261,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,35.52918467701544,335.24795022894625,1325.4361003638205,15341.370835481985,442368.1164515891,339.98107318061614,55.203083903145306,3375.8953462279765,567.6589734893466,1252.4296986250383,11056.912705304692,13905.404463211798,0.10044910844058658,8.678036126091422,13424.367122646116,973.2192233465067,448.0754899018646,684.5701465206314,4.946643166963087,495.52102812927734,59.34418497431555,138.2065204025686,110.58194746551274,1382.2635207087023,114.91144388637265,1.5507970886398192,1061.6402300185696,122.09272397974945,592.4143597500154,1227.1130884556608,81.04689533451354,28.02009304085577,1131.296542109112,79.68182879829806,270.22291613097866,766.5187370636136,19.67389922612987,236.49465661876678,232.41102326040038,7,80.242
35465,4,JPN,high,Nagasaki,Japan,East Asia & Pacific,High income,1359108.1671351553,220.19913521941112,1031.3311563174575,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,42.57295458014782,412.448687232367,1450.1228912424942,17030.07560040758,442368.1164515891,378.4831534543728,62.646608068397846,3825.1276897205007,661.9023330384883,1380.5886653463426,14262.116699222252,15539.353386231425,0.1362432945672602,11.759686797632755,17316.914875310675,1256.239184521906,548.8761992449101,830.1093512305459,5.991178723063137,701.4533524454753,74.9373281885909,155.6922708716902,154.43324885665004,1594.7106797614892,132.84805135526744,2.3134533400309736,1284.6616202314144,137.69970043701244,764.418587226402,1423.0551813686775,93.47222114694101,39.59735681255074,1328.4502504536388,108.93695103329833,479.27810419928096,1098.453872430459,22.70841034120693,339.5972357100149,285.18518329810365,7,80.242
35465,4,JPN,low,Nagasaki,Japan,East Asia & Pacific,High income,1359108.1671351553,100.6055843089512,541.6410892701186,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,29.738134640764684,271.05034078971244,1208.7198815680479,13785.74551613577,442368.1164515891,304.8271580673591,48.44922684133728,2963.570510680083,485.4542096496083,1135.1128931338665,8285.897838387831,12421.054924913933,0.07276536633545677,6.285213974528471,10040.563004683912,710.5791903284999,357.5704185223268,548.8292968382278,4.011785482877195,328.7623353628527,45.764948631610935,122.2448882520445,74.79561974699162,1186.8205516816874,99.15986897336032,0.9829670296698665,874.651475312143,107.98388740072514,422.97109395716194,1055.3832082634353,69.92664534024925,18.452228345337897,954.0954736786048,50.42670656329779,61.16772806267639,434.5836016967683,16.63938811105281,133.39207752751867,179.6368632226971,7,80.242
35466,4,JPN,central,Kumamoto,Japan,East Asia & Pacific,High income,1783044.1154212146,163.7061242672308,808.9655781198952,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,33.59427895009008,309.9977903018233,1212.3581539181291,13593.667309303299,442368.1164515891,306.4003778906212,51.21878823419061,2939.165781150668,513.0515553368405,1142.6862252954427,10781.46294385377,12223.030936612686,0.0970985052048889,8.385921852419003,13132.44728750271,978.8947419463739,365.15094052459443,582.967887395397,4.922494265965824,519.7974143383568,58.135006690788266,121.86449464963236,112.1349108457264,1172.901468902706,100.2257303096082,1.3315816507517082,896.1739554986553,113.19773698501368,574.3289594066741,1101.9792699574355,67.45237884661415,23.559363284345014,926.3980956218667,71.33814625597518,292.43087169397336,664.2850422905262,17.624509284100533,217.8169468708026,203.0537650350172,7,80.242
35466,4,JPN,high,Kumamoto,Japan,East Asia & Pacific,High income,1783044.1154212146,236.2664250886362,1096.3618390917918,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,40.43016362280287,382.56806966076357,1324.8932902884792,15078.83799489799,442368.1164515891,341.1546925718581,58.66663084684136,3341.0318814813772,602.2622934814926,1256.4329763876385,13938.886879997255,13672.148564875924,0.12691163926450844,10.964902554786786,16975.218392008093,1268.7849788343285,441.86323497310707,705.883859488452,5.918844672100839,737.1064637206018,73.19201798745958,137.40899668596367,156.36497508609077,1357.5500865350155,116.30818132818297,2.0032746437864724,1088.0003783863813,128.0487029683583,742.0172985484162,1281.5861041416883,78.0602086501323,33.38193422122943,1089.995675263345,96.80439310009385,511.9963407396482,960.0326449713212,21.03349156445253,311.8235578810836,254.84062183640165,7,80.242
35466,4,JPN,low,Kumamoto,Japan,East Asia & Pacific,High income,1783044.1154212146,106.86772869766364,566.7265297287872,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,28.400841890675032,253.62704713620235,1105.1272661847388,12168.605337787696,442368.1164515891,275.8621711785779,44.83951176562785,2575.254050142015,436.8739582242932,1037.3322140178948,8044.546049848138,10897.370890903507,0.06875447067140614,5.939169462553923,9823.433583211836,713.6600437575466,291.63575446771193,465.2237931011263,4.001413083856747,344.6012706644215,44.885426593689374,107.79265497461527,76.0388730173288,1008.2258673703662,86.63543468028949,0.8412332690454271,740.5706354003906,99.90857609895238,412.05452779775806,943.1755562710947,58.06190267861949,15.300582937427025,779.4689412270446,45.871899411856504,72.86540264829853,368.5374396097312,14.215527003748537,123.81033586052162,151.26690823363273,7,80.242
35467,4,JPN,central,Ōita,Japan,East Asia & Pacific,High income,1154223.957979859,148.80148138520707,747.1643109447989,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,35.519128130913955,326.70776935559326,1238.7711797877037,13682.712049595291,442368.1164515891,332.5638230270022,59.0544090944894,3218.6629951769305,592.687073140437,1168.5755399243442,11109.905780201007,12374.921024645146,0.08784773125271704,7.5969079774782715,13516.728367682383,960.9676578519304,382.51471571811214,614.5500621048083,4.785423649255569,530.8530506762552,55.74006249244003,133.78639828148656,115.19945714327413,1333.607449284363,100.00927995149115,1.3988370856127852,883.6620696392205,127.70976139893601,576.4458448812758,1225.1334154175295,65.76466755872794,22.915083900331354,900.1885319735869,71.0676633465796,269.32235582738053,659.9221304750381,23.535280963575445,232.03534638669612,265.9793037848437,7,80.242
35467,4,JPN,high,Ōita,Japan,East Asia & Pacific,High income,1154223.957979859,215.03745328740703,1003.638666215603,112.89086524181143,442.09580901563095,39.693723999999996,78.77181990999999,43.26115413681019,407.81611187200383,1352.7665930637743,15163.828767862722,442368.1164515891,370.16945112077605,67.09013524165312,3653.559794053001,691.6211493548428,1282.054761968074,14348.483395365552,13794.886394867612,0.11838589086081337,10.241740214103654,17431.2617856396,1239.744501550989,465.3380849732824,746.4880203203467,5.781689821611721,748.7659226891569,70.5154111152029,150.76205422916306,161.1564612554922,1544.18704588012,114.7239908311701,2.086630046403288,1058.2168576181257,143.0571079765794,744.4799303421532,1408.1607596017682,76.22893295737985,32.22769393372693,1063.7817294538333,99.91701046671119,477.2642137529182,983.5206122589932,27.395043598004637,332.7908986904985,327.5782315144849,7,80.242
