location_id,location_level,iso3,estimate,location_name,country,region,income_group,pop,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,TotCV_Deaths,TotResp_Deaths,TotCV_YLLs,TotResp_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,AllCause_YLDs,COPD_YLDs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,TotCV_YLDs,TotResp_YLDs,birth.rate,labor.partic
78,3,DNK,high,Denmark,Denmark,Europe & Central Asia,High income,5802733.4238480255,343.5867807258404,1676.9556008296095,229.3024757145639,677.2094619838801,75.68372654914857,50.775129573,86.82244699819415,1315.754487705011,936.0028160082393,15736.159781390139,474459.94466598285,236.03047346105288,94.39642193967738,3413.0935570786314,1447.0270586498693,896.9399624061125,12718.206654434527,14760.547130908311,0.08930376997794376,7.966402731294974,14982.131952558084,265.42302926724574,24.480396256641452,491.7972982837503,380.37618124730545,98.18995455225115,101.34127155090847,1498.7571264491505,80.61699356229542,26.447728697237316,1569.9630134461008,48.280886494223466,1.8638319332995654,594.0509201984728,59.61941907653947,336.0668567779321,829.898601672693,7.84275065390066,177.63838080054725,131.33838282767425,78.01448012360939,249.64458544465117,1088.8662488782259,698.212206100302,425.56652331560383,10.5,79.043
78,3,DNK,low,Denmark,Denmark,Europe & Central Asia,High income,5802733.4238480255,114.62828397378671,738.0072294162395,229.3024757145639,677.2094619838801,75.68372654914857,50.775129573,71.25919903457208,1122.2809826288324,906.5110270842245,15195.209321456601,474459.94466598285,193.0603541027901,77.6542759945314,2916.3950387074665,1240.0439773725172,847.6940440775876,7321.665298172004,14013.925393500911,0.06732031306861991,6.008924475571719,8716.87155032338,180.12320806452254,19.987120595993723,237.03471372263525,323.69416380359837,80.30081578189261,45.47650779426832,1289.575485950091,66.57649173273346,14.835166168395816,1351.428581962201,37.31087725522774,0.8717307684097323,476.3824959542668,54.164715110987345,198.26640151441575,768.618977633634,6.512182410775059,83.64956247696094,112.92203218061623,62.350200933795094,144.96364918789072,907.3244702535007,385.09985674169843,282.43293999139445,10.5,79.043
177,3,DJI,central,Djibouti,Djibouti,Middle East & North Africa,Lower middle income,1202796.732354607,555.1583136052504,2323.1865331560457,837.59584882459,718.0915866882816,262.2065189590454,NA,6.8346811807127175,160.57540451302333,464.832763479252,15740.038934045286,199982.7445107921,99.63074024879948,10.495410292470114,2632.714423369107,274.86423746755156,275.94584037550607,4186.988529689932,7798.424350614633,10.736659558886107,955.5455673444578,6013.890948337618,69.30459415339938,17.13624301455301,150.8882661515585,462.511176205357,33.966304101927776,24.490281740791055,922.628885846641,4.888067766571732,1.1456121414916038,142.72422577298158,26.724126063008587,4.513639758122539,743.2053426108636,21.944384876455903,108.12521054686584,580.0122871733956,3.660729111757393,43.92587025083149,114.28883295452813,43.720051270415944,104.08935441890655,1130.0732503490706,236.7048467065635,113.23046440423099,21.913,33.232
177,3,DJI,high,Djibouti,Djibouti,Middle East & North Africa,Lower middle income,1202796.732354607,826.9723606476315,3091.2235862478087,837.59584882459,718.0915866882816,262.2065189590454,NA,10.081437304103064,240.59700214709494,599.2707396229468,20253.491693122127,199982.7445107921,131.44763667451255,15.555066098014894,3536.7322893057144,414.5118770321109,373.05520176080574,5476.086906735018,10732.322185715879,15.445749379165028,1372.940984599959,7805.707484241556,84.25101903746435,24.15329525791195,210.32658167564276,665.9511312694847,45.62649127848562,35.53206367784931,1255.7379396627348,7.124827206728955,1.8088204836663677,209.52266015215486,37.22568109594091,6.252521977615089,1060.954697152003,28.094938438145014,136.1523781220042,740.3550306331324,5.267244809387346,58.38454876996576,165.73242726016912,59.316176528388155,130.58413513326056,1571.1063132388324,307.3022068609215,138.22477208890723,21.913,33.232
177,3,DJI,low,Djibouti,Djibouti,Middle East & North Africa,Lower middle income,1202796.732354607,358.4660879274957,1718.8023588023057,837.59584882459,718.0915866882816,262.2065189590454,NA,4.209171118697164,96.50964711285783,359.8835274418656,11934.95776179085,199982.7445107921,74.09708372760399,6.566391343242907,1876.4708702101752,166.67332614148336,199.75071397623935,3106.601946918557,5431.120256103741,6.891146355231645,613.8773562878604,4535.383883971703,55.27626784335089,12.375751809465488,104.31381136904729,324.9863666588529,24.596987010133947,15.479752109239566,643.8788305225419,3.110967761015648,0.6493458268909585,90.29043523410279,18.85084173604266,3.0225992467772342,502.58064660765285,15.79383131476679,80.09804297172748,419.66954371365887,2.05421341412744,29.467191731697213,62.84523864888713,31.620481972529408,76.58274326593231,782.3502947847612,172.50585673283294,88.42011219858232,21.913,33.232
110,3,DMA,central,Dominica,Dominica,Latin America & Caribbean,Upper middle income,68681.446979381,579.410194913522,2837.3669270696605,2400.894699401194,1923.2159456345582,NA,NA,19.72017497941248,368.062206885908,834.319669434752,18473.47956255602,NA,303.1253097522809,26.51922268074027,5891.788713593906,540.0008439540804,774.3851865947755,7526.373881266995,16271.217364797705,2.2935904432200727,204.88973817540068,9240.161082907594,60.32104974000122,82.03168720665306,1186.3113669618224,1699.4834226498958,101.10698860882329,55.78778451613975,1947.871636676114,21.890485265595604,4.88308419880099,534.5493448620616,32.882228032338865,2.0514415288554875,576.173468948601,99.62465078283152,197.56481835034774,2021.076351142815,6.799047701327804,97.37255601928545,171.93863706817294,102.39367036062586,76.2152357797776,1922.840725774974,329.56783864626516,157.69360575928675,11.512,NA
110,3,DMA,high,Dominica,Dominica,Latin America & Caribbean,Upper middle income,68681.446979381,910.0459290738631,3856.6464123440737,2400.894699401194,1923.2159456345582,NA,NA,23.270402014699965,438.7829234117842,948.0938481109021,21302.090657401586,NA,343.07397884249104,31.188949679624525,6777.642470802082,641.1478575384322,878.4296839399227,9907.212335182698,18805.077818142567,3.09756097710595,276.77482704698986,12135.62472907629,74.29194777942506,93.88475405605986,1683.4182130698944,1986.7179778133268,115.04012687866809,79.06735862044948,2257.974625853447,26.593056712826357,6.808392953686357,655.7087571227937,38.14220931721825,2.8508106431734253,675.9523513934225,111.08185587723567,237.75523374787667,2262.0922160788496,7.88341135986998,132.9333988964227,198.74800102528,116.32135810101953,96.0884583701318,2216.5791149165702,434.412400451482,198.92915730263545,11.512,NA
110,3,DMA,low,Dominica,Dominica,Latin America & Caribbean,Upper middle income,68681.446979381,353.07798388190116,2085.649829517797,2400.894699401194,1923.2159456345582,NA,NA,16.95235550636255,315.3663993002084,767.3754641910133,16538.811621483965,NA,273.23297042148397,22.934610103847486,5195.801161314919,464.5872581275536,703.3020602705014,5545.043005293549,14418.812556039242,1.6577729864341468,148.03107482668204,6838.190912500267,47.12141372701169,72.5376819352901,800.4857552858027,1482.7718459388054,88.83850839972858,36.15674812694879,1696.7940368627449,17.798542906614063,3.2990892947479225,428.12869147493177,27.97318813731813,1.4107800469876441,492.5101160775428,88.16744568842738,157.3744029528188,1780.0604862067805,5.714684042785628,61.811713142148214,145.12927311106588,90.8083519927904,57.0750083116207,1688.4341935275472,238.81151293457546,120.65008133789522,11.512,NA
111,3,DOM,central,Dominican Republic,Dominican Republic,Latin America & Caribbean,Upper middle income,10881854.500374388,499.9271305413908,2052.399694232871,2443.976603352398,1452.6186413773644,190.95555832862854,256.9308050048,10.661667504581999,195.90928292458477,501.75735874641555,13335.391012325194,423354.31315970054,212.07812462027186,14.424072312356033,4748.076338164916,305.24446761464776,417.6803974289256,5947.714481425066,9661.111185158818,2.166034949801578,193.68871983018897,7763.51301035049,53.97182000876824,23.822146814202014,723.4502411802257,584.5840664389813,121.95773903805222,54.72428070959241,2718.0783087669233,11.975020232603985,2.772637537814209,309.78104974840153,14.521993417539768,1.7870579877422748,288.5064341523996,28.05821830733597,135.59857134947606,620.191470038045,3.762404807774039,46.99259451496812,109.3351846900631,62.06216727488355,81.33846281878182,1409.8065593599467,271.66131487785054,100.96441452373644,19.43,68.788
111,3,DOM,high,Dominican Republic,Dominican Republic,Latin America & Caribbean,Upper middle income,10881854.500374388,742.3005532701976,2732.1824693212766,2443.976603352398,1452.6186413773644,190.95555832862854,256.9308050048,14.92338464431935,279.33956260037803,573.1705274884797,15302.962928098485,423354.31315970054,250.87655442087336,20.283676900355026,5705.967967530873,426.76011083368536,480.8658922345949,7806.827309139539,11268.02326458962,3.022767589224353,270.2758044315757,10194.927069214638,66.49079131430257,29.04597138120653,1014.4605973717705,709.152297765985,145.03309898601626,75.53442585906613,3284.9456857482937,15.624422410346662,4.1683420784486644,404.13295487298336,17.359178336044376,2.4857944181854292,351.78698966988065,32.229520186714936,164.64562199651942,708.8319025827985,4.8087683676063655,63.56873739124083,140.98343718585411,74.9583341302209,102.26367502867114,1731.5001913299093,357.9978023194832,125.57248491889754,19.43,68.788
