estimate,iso3,Outcome,Cause,Pollutant,scenario,region_name,year,number,cost.USD
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1995,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1996,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1997,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1998,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1999,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2000,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2001,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2002,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2003,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2004,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2005,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2006,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2007,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2008,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2009,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2010,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2011,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2012,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2013,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2014,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2015,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2016,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2017,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2018,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2019,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2020,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,2021,0.008123534450329211,0
