scenario,iso3,estimate,cost.LCU,cost.USD
scenario1,MDG,central,3780.9837678838435,1.0449550571727317
scenario1,MDG,high,7088.794343607189,1.9591386669072193
scenario1,MDG,low,2076.579467606063,0.5739067791635856
scenario1,MDV,central,2.697199996425241,0.17534780889515308
scenario1,MDV,high,4.0978693101510375,0.26640679431485137
scenario1,MDV,low,1.678339657118002,0.10911062651917856
scenario1,MHL,central,0,0
scenario1,MHL,high,0,0
scenario1,MHL,low,0,0
scenario1,MKD,central,0,0
scenario1,MKD,high,0,0
scenario1,MKD,low,0,0
scenario1,MLI,central,0,0
scenario1,MLI,high,0,0
scenario1,MLI,low,0,0
scenario1,MLT,central,0,0
scenario1,MLT,high,0,0
scenario1,MLT,low,0,0
scenario1,MMR,central,95314.39694136252,62.20766642744289
scenario1,MMR,high,135422.9475926868,88.3848172028996
scenario1,MMR,low,62398.612888724754,40.72492950361879
scenario1,MNE,central,0,0
scenario1,MNE,high,0,0
scenario1,MNE,low,0,0
scenario1,MNG,central,2292.0164303610463,0.8605146630576308
scenario1,MNG,high,3466.441444057338,1.3014407976002713
scenario1,MNG,low,1456.180627177626,0.5467084638435237
scenario1,MNP,central,0,0
scenario1,MNP,high,0,0
scenario1,MNP,low,0,0
scenario1,MOZ,central,153.04891942178187,2.4460431424289895
scenario1,MOZ,high,224.26803714961466,3.5842742072816787
scenario1,MOZ,low,91.60309847861711,1.464009884587136
scenario1,MUS,central,0,0
scenario1,MUS,high,0,0
scenario1,MUS,low,0,0
scenario1,MWI,central,519.4518737881431,0.6963791948844485
scenario1,MWI,high,725.0126765775252,0.9719548036551918
scenario1,MWI,low,322.84535486759097,0.43280773376624765
scenario1,MYS,central,259.8615974388102,62.73107928811442
scenario1,MYS,high,383.22151305240936,92.51039536868298
scenario1,MYS,low,156.6282429558022,37.81035298966052
scenario1,NAM,central,58.45266156423022,4.045614847611516
scenario1,NAM,high,93.31149923264086,6.458258300755852
scenario1,NAM,low,33.3317304634653,2.30694959050589
scenario1,NER,central,0,0
scenario1,NER,high,0,0
scenario1,NER,low,0,0
scenario1,NGA,central,0,0
scenario1,NGA,high,0,0
scenario1,NGA,low,0,0
scenario1,NLD,central,0,0
scenario1,NLD,high,0,0
scenario1,NLD,low,0,0
scenario1,NOR,central,0,0
scenario1,NOR,high,0,0
scenario1,NOR,low,0,0
scenario1,NPL,central,2615.631158609964,23.171826656407607
scenario1,NPL,high,3666.9416757205668,32.48536652014409
scenario1,NPL,low,1652.0788410035348,14.635735011964336
scenario1,OMN,central,0.21897884543050086,0.5695158528751664
scenario1,OMN,high,0.2793173176403423,0.7264429587525176
scenario1,OMN,low,0.14864227944117347,0.38658590231774737
scenario1,PAK,central,10055.931363732598,73.67948883943465
scenario1,PAK,high,14085.669807866328,103.20525407995876
scenario1,PAK,low,6423.032819733022,47.06135690858381
scenario1,PHL,central,4283.338071736861,82.69665699870423
scenario1,PHL,high,6264.999103539039,120.95577637944281
scenario1,PHL,low,2683.601156797331,51.81119040062275
scenario1,PLW,central,0,0
scenario1,PLW,high,0,0
scenario1,PLW,low,0,0
scenario1,PNG,central,0,0
scenario1,PNG,high,0,0
scenario1,PNG,low,0,0
scenario1,POL,central,0,0
scenario1,POL,high,0,0
scenario1,POL,low,0,0
scenario1,PRK,central,0,0
scenario1,PRK,high,0,0
scenario1,PRK,low,0,0
scenario1,PSE,central,0,0
scenario1,PSE,high,0,0
scenario1,PSE,low,0,0
scenario1,QAT,central,1.448482717196559,0.39793481241663803
scenario1,QAT,high,1.989176541895895,0.546477071949423
scenario1,QAT,low,0.9860144351765852,0.2708830865869745
scenario1,ROU,central,0,0
scenario1,ROU,high,0,0
scenario1,ROU,low,0,0
scenario1,RUS,central,427.773877638852,6.607801599977336
scenario1,RUS,high,582.0607966454395,8.991063887741461
scenario1,RUS,low,301.15633759252665,4.6519468191259055
scenario1,RWA,central,0,0
scenario1,RWA,high,0,0
scenario1,RWA,low,0,0
scenario1,SAU,central,0.5205051832136093,0.13880138219029572
scenario1,SAU,high,0.7479192636010332,0.19944513696027538
scenario1,SAU,low,0.3303840210021716,0.08810240560057904
scenario1,SDN,central,0,0
scenario1,SDN,high,0,0
scenario1,SDN,low,0,0
scenario1,SGP,central,20.51685391876249,15.039476556782343
scenario1,SGP,high,26.345660869722867,19.312168941301017
scenario1,SGP,low,14.832187893712339,10.87244384526633
scenario1,SLB,central,0,0
scenario1,SLB,high,0,0
scenario1,SLB,low,0,0
scenario1,SMR,central,0,0
scenario1,SMR,high,0,0
scenario1,SMR,low,0,0
scenario1,SOM,central,0,0
scenario1,SOM,high,0,0
scenario1,SOM,low,0,0
scenario1,SRB,central,0,0
scenario1,SRB,high,0,0
scenario1,SRB,low,0,0
scenario1,SSD,central,0,0
scenario1,SSD,high,0,0
scenario1,SSD,low,0,0
scenario1,STP,central,0,0
scenario1,STP,high,0,0
scenario1,STP,low,0,0
scenario1,SVK,central,0,0
scenario1,SVK,high,0,0
scenario1,SVK,low,0,0
scenario1,SVN,central,0,0
scenario1,SVN,high,0,0
scenario1,SVN,low,0,0
scenario1,SWE,central,0,0
scenario1,SWE,high,0,0
scenario1,SWE,low,0,0
scenario1,SWZ,central,33.11830994305368,2.2529462546295016
scenario1,SWZ,high,52.026304566524665,3.5392043922805887
scenario1,SWZ,low,18.806826307149137,1.2793759392618456
scenario1,SYC,central,0,0
scenario1,SYC,high,0,0
scenario1,SYC,low,0,0
scenario1,SYR,central,0,0
scenario1,SYR,high,0,0
scenario1,SYR,low,0,0
scenario1,TCD,central,0,0
scenario1,TCD,high,0,0
scenario1,TCD,low,0,0
scenario1,THA,central,5284.734431177339,170.21394346672014
scenario1,THA,high,8020.164709249674,258.31834696561657
scenario1,THA,low,3122.726259382011,100.57866821854222
scenario1,TJK,central,5.362154544897846,0.5626368824915893
scenario1,TJK,high,7.717404305009406,0.8097670931974944
scenario1,TJK,low,3.35873999722645,0.3524238224236598
scenario1,TKM,central,2.4310638586894022,0.6945896739112576
scenario1,TKM,high,3.4952563454885173,0.9986446701395763
scenario1,TKM,low,1.5529586623970821,0.44370247497059473
scenario1,TLS,central,0.18741481515119668,0.18741481515119668
scenario1,TLS,high,0.3426963000262055,0.3426963000262055
scenario1,TLS,low,0.09349420034348682,0.09349420034348682
scenario1,TUN,central,0,0
scenario1,TUN,high,0,0
scenario1,TUN,low,0,0
scenario1,TUR,central,0,0
scenario1,TUR,high,0,0
scenario1,TUR,low,0,0
scenario1,TWN,central,0,0
scenario1,TWN,high,0,0
scenario1,TWN,low,0,0
scenario1,TZA,central,2539.725873569205,1.1039939219745027
scenario1,TZA,high,3422.0353605681894,1.4875252003240118
scenario1,TZA,low,1587.7163563489278,0.6901647242603317
scenario1,UGA,central,0,0
scenario1,UGA,high,0,0
scenario1,UGA,low,0,0
scenario1,UKR,central,0,0
scenario1,UKR,high,0,0
scenario1,UKR,low,0,0
scenario1,UZB,central,15273.09064864825,1.728353278682808
scenario1,UZB,high,20740.25549990984,2.3470356733043363
scenario1,UZB,low,10191.72187081989,1.153328839334418
scenario1,VNM,central,2721971.342023409,118.0886247289723
scenario1,VNM,high,3908848.3885220736,169.5794967964294
scenario1,VNM,low,1751432.6132456968,75.9832645592474
scenario1,YEM,central,0,0
scenario1,YEM,high,0,0
scenario1,YEM,low,0,0
scenario1,ZAF,central,1252.6536919145376,86.69843663758869
scenario1,ZAF,high,1686.8704839281027,116.75136928158832
scenario1,ZAF,low,835.8092367426024,57.8478749718032
scenario1,ZMB,central,29.84291234697634,2.3153065578674203
scenario1,ZMB,high,41.73885219697332,3.2382308095778933
scenario1,ZMB,low,17.87756251526678,1.3869972624999434
scenario1,ZWE,central,7.678188247175223,7.678188247175223
scenario1,ZWE,high,11.191928259176414,11.191928259176414
scenario1,ZWE,low,4.509415260039611,4.509415260039611
