scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,UKR,UKR,Ukraine,central,Hryvnia,UAH,0,0,44997922.86641376,0,0
scenario1,ERI,ERI,Eritrea,central,Nakfa,ERN,0,0,6222660.084534256,0,NA
scenario1,GUM,GUM,Guam,central,US Dollar,USD,0,0,226467.25112317514,0,NA
scenario1,IOT,IOT,British Indian Ocean Territory,central,NA,NA,0,0,NA,NA,NA
scenario1,LIE,LIE,Liechtenstein,central,Swiss Franc,CHF,0,0,NA,NA,NA
scenario1,MCO,MCO,Monaco,central,Euro,EUR,0,0,NA,NA,NA
scenario1,MHL,MHL,Marshall Islands,central,US Dollar,USD,0,0,NA,NA,NA
scenario1,MNP,MNP,Northern Mariana Islands,central,US Dollar,USD,0,0,NA,NA,NA
scenario1,PLW,PLW,Palau,central,US Dollar,USD,0,0,NA,NA,NA
scenario1,PRK,PRK,North Korea,central,NA,NA,0,0,26980063.708160583,0,NA
scenario1,SMR,SMR,San Marino,central,Euro,EUR,0,0,NA,NA,NA
scenario1,SOM,SOM,Somalia,central,NA,NA,0,0,13959348.401898956,0,NA
scenario1,SSD,SSD,South Sudan,central,South Sudanese Pound,SSP,0,0,14567200.358833779,0,NA
scenario1,SYR,SYR,Syria,central,NA,NA,0,0,19277995.95738257,0,NA
scenario1,TWN,TWN,Taiwan,central,NA,NA,0,0,26950451.66889423,0,NA
scenario1,YEM,YEM,Yemen,central,Yemeni Rial,YER,0,0,33830171.55368241,0,NA
scenario1,BGD,BGD,Bangladesh,high,Taka,BDT,366.012590657843,30755.75192365022,179403191.2267793,2.0401676701234104,0.0010993823830527194
scenario1,MMR,MMR,Myanmar,high,Kyat,MMK,88.3848172028996,135422.9475926868,60344178.385160655,1.4646784423637866,0.0010403926467227038
scenario1,NPL,NPL,Nepal,high,Nepalese Rupee,NPR,32.48536652014409,3666.9416757205668,29913363.328348093,1.0859817454682061,0.001013940501657272
scenario1,BTN,BTN,Bhutan,high,Indian Rupee,INR,2.809842550978468,192.16372714014227,876643.4279249388,3.2052285586963367,9.882824979895084e-4
scenario1,BTN,BTN,Bhutan,high,Ngultrum,BTN,2.809842550978468,192.16372714014227,876643.4279249388,3.2052285586963367,9.882824979895084e-4
scenario1,IND,IND,India,high,Indian Rupee,INR,2660.0312839332555,188596.21803086772,1450316455.1383414,1.8341040498499501,8.716620125158135e-4
scenario1,SWZ,SWZ,Swaziland,high,Lilangeni,SZL,3.5392043922805887,52.026304566524665,1360986.6769905123,2.600469535900726,6.777303209157366e-4
scenario1,LAO,LAO,Laos,high,Kip,LAK,14.228913528923565,127907.11736249508,8616791.006176224,1.6513007590325404,6.514268339117134e-4
scenario1,VNM,VNM,Vietnam,high,Dong,VND,169.5794967964294,3908848.3885220736,107182649.72787797,1.5821543619883296,5.826863791284363e-4
scenario1,BWA,BWA,Botswana,high,Pula,BWP,10.510438266410556,113.04922294968532,2523304.755870009,4.165346354601019,5.231967643227777e-4
scenario1,THA,THA,Thailand,high,Baht,THB,258.31834696561657,8020.164709249674,70657166.87559785,3.6559397777782876,4.682184235159669e-4
scenario1,LSO,LSO,Lesotho,high,Loti,LSL,1.0778053812449346,15.576227808675604,2168229.551057099,0.49709007089192253,4.294384189866188e-4
scenario1,LSO,LSO,Lesotho,high,Rand,ZAR,1.0778053812449346,15.576227808675604,2168229.551057099,0.49709007089192253,4.294384189866188e-4
scenario1,KHM,KHM,Cambodia,high,Riel,KHR,12.515217177384901,50826.16172471955,18492916.17050132,0.6767573627651192,4.118730164384784e-4
scenario1,ZWE,ZWE,Zimbabwe,high,Zimbabwe Dollar,ZWL,11.191928259176414,11.191928259176414,18791614.26824606,0.5955809915749739,4.068215325252183e-4
scenario1,IDN,IDN,Indonesia,high,Rupiah,IDR,465.9179698849771,6591654.33728774,290471939.0625128,1.604003372541629,3.878555213580454e-4
scenario1,LKA,LKA,Sri Lanka,high,Sri Lanka Rupee,LKR,32.8817651099465,5877.447816400875,22955705.82241178,1.4324005266631294,3.7175432480392737e-4
scenario1,PAK,PAK,Pakistan,high,Pakistan Rupee,PKR,103.20525407995876,14085.669807866328,226953999.0318939,0.454740848454736,3.539660045499955e-4
scenario1,ZAF,ZAF,South Africa,high,Rand,ZAR,116.75136928158832,1686.8704839281027,58326801.52677989,2.001676180168797,3.335348266551969e-4
scenario1,PHL,PHL,Philippines,high,Philippine Peso,PHP,120.95577637944281,6264.999103539039,117806304.48301554,1.0267343238568472,2.9460818147406914e-4
